"station_name","lat","lon"
"EHAFO",-16.629166,15.791666
"FUNDA",-8.839556,13.495444
"GABELA",-10.861794,14.3591
"GAMBOS",-15.731806,13.891116
"HUAMBO_NOVA_LISBOA",-12.80262,15.74959
"HUMPATA_EEAH",-15.0499,13.3925
"LANDANA",-5.257,12.1531
"LOBITO",-12.370736,13.537145
"LOBITO_CULANGO",-12.310617,13.835176
"LOBITO_FANA",-12.3707,13.5371
"LUANDA",-8.84806,13.23528
"LUBANGO_SA_DA_BANDEIRA",-14.92868,13.57091
"LUENA_LUSO",-11.76841,19.89802
"LUMEGE_CAMEIA",-11.555597,20.784792
"MALANGE",-9.527737,16.318939
"MAPUNDA",-14.9057,13.4483
"MAQUELA_DO_ZOMBO",-6.030886,15.137457
"MAVINGA",-15.8333333333,20.35
"MBANZA CONGO",-6.2666666667,14.25
"MENONGUE_SERPA_PINTO",-14.657266,17.714595
"MINA_DO_LUAXE",-9.54238,20.15737
"MOCAMEDES",-15.256722,12.153485
"MONGUA",-16.725509,15.353899
"MUKOLONGODJO",-15.66806,15.80306
"MUPA",-16.133888,15.746388
"N'ZETO (AMBRIZETE)",-7.2333333333,12.8666666667
"NBANZA-KONGO",-6.2666666667,14.25
"NDALATANDO",-9.30663,14.90497
"NDALATANDO",-9.30663,14.90497
"NEGAGE",-7.763738,15.294156
"NEGAGE",-7.763738,15.294156
"NEGAGE_CESSE",-7.818354,15.330536
"NOQUI",-5.8666666667,13.4333333333
"OIHOLE",-17.333861,15.961888
"OMUVANDJA",-16.6372,16.0394
"ONCÓCUA/CUROCA",-16.655636,13.422742
"ONDJIVA_AEROPORTO",-17.048,15.68949
"PEREIRA DE ECA",-17.048,15.6894
"PORTO AMBOIM",-10.7,13.75
"QUIMINHA",-9.05535,13.755722
"ROCADAS",-16.7166666667,15
"SAMBA_CAJU",-8.749615,15.416156
"SAURIMO_HENRIQUE_DE_CARVALHO",-9.688737,20.424995
"SUMBE",-11.171454,13.845379
"TOMBUA",-15.797554,11.877233
"TOTO",-7.1666666667,14.2666666667
"UIGE",-7.6036,15.0291
"WAKU KUNGU (CELA)",-11.4166666667,15.1166666667
"ZANGO",-9.076019,13.422231
"BOHICON",7.1666666667,2.0666666667
"BOHICON",7.203065,2.056804
"COTONOU",6.35,2.3833333333
"COTONOU",6.35,2.3833333333
"Cotonou",6.2100000381,2.2300000191
"Djougou",9.65,1.733333
"KANDI",11.1333333333,2.9333333333
"KANDI",11.1333,2.9333
"PARAKOU",9.35,2.6166666667
"PARAKOU",9.355659,2.615433
"PEPORIYAKOU-NATITINGOU",10.3166666667,1.3833333333
"PEPORIYAKOU-NATITINGOU",10.383333,1.366667
"SAVE",8.0333333333,2.4666666667
"SAVE",8.0333333333,2.4666666667
"BAINES DRIFT",-22.4897222222,28.6966666667
"BOBONONG POLICE STATION",-21.97,25.42
"BOKSPITS AGROMET STATION",-26.7,20.7
"Bathoen Ranch",-25.17833333,25.61658333
"Bokaa",-24.42725,26.01219444
"DIBETE POLICE STATION",-23.83,26.42
"DUKWE POLICE STATION",-20.53,26.57
"FRANCISTOWN",-21.3238888889,27.4691666667
"GABORONE",-24.6666666667,25.9166666667
"GHANZI",-21.7,21.65
"GOOD HOPE",-25.45,25.4166666667
"GWETA (68034-0)",-20.25,25.0833333333
"GWETA (68035-0)",-20.2041666667,25.2622222222
"Herbst's Farm",-25.11666667,25.65
"JWANENG",-24.6,24.6666666667
"KACHIKAU PRIMARY SCHOOL",-18.17,24.48
"KALKFONTEIN POLICE STATION",-22.1,20.88
"KANG AGROMET STATION",-23.75,22.75
"KARAKUBIS PRIMARY SCHOOL",-22.05,20.62
"KASANE",-17.8166666667,25.15
"KHUTSE",-23.6666666667,24.1666666667
"KOBOJANGO PRIMARY SCHOOL",-21.93,28.8
"Kgomokasitwa",-25.0948,25.6193
"Knockduff",-25.15,25.66666667
"Kwihum",-19.0379,22.56098
"LEPHEPE",-23.3644444444,25.8475
"LETLHAKANE",-21.4166666667,25.6
"MABABE",-19.0180555556,23.97
"MABUASEHUBE WILDLIFE CAMP",-25.03,22.13
"MAHALAPYE",-23.0833333333,26.8
"MAITENGWE",-20.1252777778,27.22
"MAUN",-19.9833333333,23.4166666667
"MOLEPOLOLE POLICE STAION",-24.38,25.5
"MOREMI",-19.3333333333,23.4166666667
"MOTOKWE",-24.0611111111,23.2975
"Mabutsane Primary School",-24.38,23.57
"Maisane",-25.20975,25.50725
"Manyana",-24.77105556,25.59097222
"Maruswa",-25.25227778,25.55633333
"Maun",-19.9755992889,23.4272003174
"Molapowabojang",-25.19736111,25.55808333
"Moshopa",-24.78766667,25.40697222
"NATA POLICE STATION",-20.22,26.17
"NCOJANE",-23.1255555556,20.2719444444
"NGWATLE",-23.7122222222,21.0797222222
"Okavango River at Shakawe",-18.38333333,21.85
"PANDAMATENGA",-18.5333333333,25.6333333333
"SELEBI-PHIKWE",-22.05,27.8166666667
"SERETSE KHAMA INTERNATIONAL AIRPORT",-24.55,25.9166666667
