TagInfo,TaxonName,AgeGroup,Height,Spread,DBH,AddInfo,BatBox,BirdBox,Climate_suitability,Lattitude,Longitude
157,Populus tremula,Mature,0,0,7.6, ,,,Low,51.49608248,-0.178553566
158,Pyrus communis,Mature,0,0,7.2, ,,,Moderate,51.49646048,-0.17866133
159,Fraxinus excelsior,Mature,0,0,26.6, ,,,Vulnerable,51.4960546,-0.178137918
161,Ulmus,Semi-mature,0,0,9.1, ,,,Moderate,51.49564738,-0.178021834
163,Pinus nigra nigra, ,0,0,13.1, ,,,Moderate,51.49602202,-0.177972586
164,Pinus pinea, ,0,0,6.9,Measured below tag,,,Not provided,51.49635714,-0.178059729
166,Acer campestre,Mature,0,0,15.3, ,,,Low,51.49551744,-0.178432024
167,Syringa vulgaris,Mature,0,0,10,Multi-stemed,,,Not provided,51.49638331,-0.178951355
170,Corylus avellana,Semi-mature,0,0,4.5,Multi-stem,,,Not provided,51.49567006,-0.178268418
171,Acer campestre,Mature,0,0,20.3, ,,,Low,51.49549535,-0.178513352
173,Taxus baccata, ,0,0,8.6, ,,,Moderate,51.4962478,-0.178778459
174,Pinus nigra nigra, ,0,0,7.3, ,,,Moderate,51.49606899,-0.178060745
175,Sorbus aria,Mature,0,0,20.2, ,,,Low,51.49562442,-0.177931899
176,Prunus avium,Mature,0,0,15.9, ,,,Vulnerable,51.49608832,-0.178836506
177,Acer campestre, ,0,0,16.5, ,,,Low,51.49555473,-0.178407399
178,Pinus nigra nigra, ,0,0,13, ,,,Moderate,51.49608953,-0.178100065
179,Rhamnus cathartica,Mature,0,0,9.2, ,,,Not provided,51.49564139,-0.178259347
180,Prunus padus,Semi-mature,0,0,6.3,Id?,,,Low,51.49565597,-0.17791113
183,Rhamnus cathartica,Mature,0,0,7.7, ,,,Not provided,51.49565914,-0.178269676
185,Ilex,Mature,0,0,21.8, ,,,Not provided,51.49634147,-0.178742758
186,Quercus robur,Young,0,0,6.5, ,,,Low,51.49555894,-0.178047645
187,Acer campestre, ,0,0,9.1, ,,,Low,51.49551292,-0.178563174
191,Pinus nigra nigra, ,0,0,9.7,ID?,,,Moderate,51.49638482,-0.178384262
194,Quercus ilex,Semi-mature,0,0,6.6, ,,,High,51.49656798,-0.178115694
198,Prunus,Young,0,0,3.9,Id,,,Low,51.4956656,-0.178304327
199,Morus alba,Mature,0,0,9.7, ,,,Not provided,51.49648574,-0.178044293
276,Acer pseudoplatanus,Mature,0,0,,Id check,,Yes,Low,51.49594326,-0.178849288
279,Fagus,Mature,0,0,,Id check,,Yes,Not provided,51.49563206,-0.178460968
301,Carpinus betulus,Semi-mature,0,0,11.4, ,,,Low,51.49557329,-0.177918957
302,Carpinus betulus,Mature,0,0,14.6, ,,,Low,51.49551989,-0.178071544
303,Carpinus betulus,Semi-mature,0,0,10.5, ,,,Low,51.49555373,-0.177895651
304,Quercus robur,Semi-mature,0,0,10.2, ,,,Low,51.49588528,-0.178183993
305,Carpinus betulus,Semi-mature,0,0,8.4, ,,,Low,51.49553437,-0.177900325
306,Quercus petraea,Semi-mature,0,0,9.8, ,,,Not provided,51.49549712,-0.178179845
307,Carpinus betulus,Mature,0,0,9.5, ,,,Low,51.49552668,-0.178223807
308,Quercus robur,Semi-mature,0,0,7.6, ,,,Low,51.49554261,-0.178176875
309,Carpinus betulus,Mature,0,0,7.5, ,,,Low,51.49552942,-0.178187651
310,Ilex aquifolium,Semi-mature,0,0,2.8, ,,,Low,51.49554118,-0.177958971
311,Carpinus betulus,Mature,0,0,10.3, ,,,Low,51.49556198,-0.177961437
312,Quercus robur,Semi-mature,0,0,6.4, ,,,Low,51.49555774,-0.178003572
313,Carpinus betulus,Mature,0,0,12.5, ,,,Low,51.49555021,-0.178008562
314,Carpinus betulus,Mature,0,0,8.2, ,,,Low,51.49555797,-0.17800962
315,Ilex aquifolium,Semi-mature,0,0,3.5, ,,,Low,51.49554626,-0.17801341
316,Carpinus betulus,Semi-mature,0,0,4.5,Multi-stem,,,Low,51.49554684,-0.177903397
317,Rhamnus cathartica,Semi-mature,0,0,3.1,Multi-stem,,,Not provided,51.49566923,-0.17831569
318,Cornus,Semi-mature,0,0,3.1, ,,,Not provided,51.49562092,-0.178265454
319,Quercus robur, ,0,0,12.5, ,,,Low,51.49585572,-0.178693378
320,Corylus avellana,Semi-mature,0,0,2.6,Multi-stem,,,Not provided,51.49563604,-0.178221762
321,Quercus robur,Mature,0,0,19.2, ,,,Low,51.49592037,-0.178544233
322,Quercus robur,Mature,0,0,13.4, ,,,Low,51.49578753,-0.178655362
323,Quercus robur,Mature,0,0,23.5, ,,,Low,51.49578192,-0.178673299
324,Acer campestre,Semi-mature,0,0,7.8, ,,,Low,51.49552768,-0.178273209
325,Quercus petraea,Mature,0,0,11.5, ,,,Not provided,51.49551315,-0.178225319
326,Sorbus aucuparia,Semi-mature,0,0,6.4, ,,,Low,51.49557208,-0.178208815
